row,trial_type,target_stimulus,test_stimulus,target_blur,blur_rt,attention_probe,attention_delay,attention_duration,attention_rt,attention_response,trial_index,time_elapsed
1,html-keyboard-response,1242.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,html-keyboard-response,358.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,html-keyboard-response,348.81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,html-keyboard-response,324.365,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,html-keyboard-response,607.985,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,html-keyboard-response,164.955,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,html-keyboard-response,741.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
