row,subject_id,trial_type,target_stimulus,test_stimulus,target_blur,blur_rt,blur_response,attention_probe,attention_delay,attention_duration,attention_rt,attention_response,trial_index,time_elapsed
1,NULL,html-keyboard-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1845
2,NULL,html-keyboard-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2710
3,NULL,html-keyboard-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2879
4,NULL,html-keyboard-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,3059
5,NULL,jspsych-blurry-word,stimuli/neck0.png,stimuli/neck0.png,6,NULL,NULL,down,84.675,50,204.035,32,4,3276
6,NULL,jspsych-blurry-word,stimuli/neck2.png,stimuli/neck0.png,6,NULL,NULL,up,2136.79,50,337.115,32,5,3616
7,NULL,jspsych-blurry-word,stimuli/neck0.png,stimuli/neck2.png,7,NULL,NULL,up,1346.23,50,136.82,32,6,3761
8,NULL,html-keyboard-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,3910
9,NULL,jspsych-blurry-word,stimuli/neck2.png,stimuli/neck2.png,6,1814.64,5,down,2837.56,50,148.125,32,8,5728
10,NULL,jspsych-blurry-word,stimuli/room2.png,stimuli/room2.png,4,167.125,5,down,1694.19,50,NULL,NULL,9,5896
11,NULL,jspsych-blurry-word,stimuli/neck2.png,stimuli/neck2.png,3,158.095,5,up,1068.28,50,NULL,NULL,10,6056
12,NULL,html-keyboard-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,6688
13,NULL,jspsych-blurry-word,stimuli/dead2.png,stimuli/dead0.png,7,1783.68,5,up,1957.57,50,252.715,32,12,8476
14,NULL,jspsych-blurry-word,stimuli/dead0.png,stimuli/dead2.png,6,191.54,5,down,227.377,50,NULL,NULL,13,8669
15,NULL,jspsych-blurry-word,stimuli/room2.png,stimuli/room0.png,6,182.855,5,up,2075.68,50,NULL,NULL,14,8853
16,NULL,jspsych-blurry-word,stimuli/test0.png,stimuli/test2.png,7,181.87,5,up,1868.53,50,NULL,NULL,15,9037
17,NULL,html-keyboard-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,9664
18,NULL,jspsych-blurry-word,stimuli/been2.png,stimuli/been0.png,3,4165.67,5,down,2234.61,50,2677.05,32,17,13833
19,NULL,jspsych-blurry-word,stimuli/been2.png,stimuli/been0.png,4,166.87,5,down,1052.66,50,NULL,NULL,18,14001
20,NULL,jspsych-blurry-word,stimuli/much0.png,stimuli/much0.png,3,375.55,5,down,2482.05,50,NULL,NULL,19,14378
21,NULL,jspsych-blurry-word,stimuli/neck0.png,stimuli/neck2.png,7,2252.56,5,up,1346.23,50,314.67,32,20,16632
22,NULL,jspsych-blurry-word,stimuli/look2.png,stimuli/look2.png,7,3661.76,3.7,up,1672.3,50,2109.12,32,21,20295
23,NULL,jspsych-blurry-word,stimuli/look0.png,stimuli/look0.png,3,175.51,5,down,607.543,50,NULL,NULL,22,20472
24,NULL,jspsych-blurry-word,stimuli/room2.png,stimuli/room2.png,4,168.895,5,down,1694.19,50,NULL,NULL,23,20642
25,NULL,jspsych-blurry-word,stimuli/neck2.png,stimuli/neck2.png,6,164.545,5,down,2837.56,50,NULL,NULL,24,20809
26,NULL,jspsych-blurry-word,stimuli/much0.png,stimuli/much2.png,6,158.405,5,up,178.573,50,NULL,NULL,25,20969
27,NULL,jspsych-blurry-word,stimuli/look0.png,stimuli/look2.png,3,175.16,5,down,2025.66,50,NULL,NULL,26,21146
